no	term	description	keywords	aliases	topic	figure_id	source_id	source_title	source_authority	source_version	source_page_or_section	effective_date	reviewed_at	reviewer	approval_status
11	Biểu đồ tròn (Pie chart) thể hiện phân bố Haplogroup nào tại Việt Nam?	Biểu đồ tròn (Pie chart) thể hiện tỷ lệ phân bố hồ sơ theo đơn vị xét nghiệm chính, cụ thể là mức độ tập trung vào Công ty cổ phần Genestory. Nó giúp người dùng hình dung rõ ràng nguồn dữ liệu đang được xử lý bởi đơn vị nào trong toàn hệ thống. Trong bối cảnh giám định ADN hài cốt liệt sĩ, biểu đồ này hỗ trợ đánh giá tính tập trung và quản lý chất lượng dữ liệu xét nghiệm.	pie chart, biểu đồ tròn, đơn vị xét nghiệm, Genestory		figure_faq	pie1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
12	Haplogroup chiếm tỷ lệ lớn nhất trong biểu đồ tròn là nhóm nào?	Biểu đồ tròn pie1 cho biết đơn vị xét nghiệm nào đang chiếm tỷ lệ tuyệt đối hoặc gần như toàn bộ hồ sơ trong hệ thống. Bằng cách quan sát phần lớn nhất của biểu đồ, người dùng có thể đánh giá mức độ phụ thuộc vào một đơn vị duy nhất. Điều này giúp quản lý hệ thống nắm bắt rõ nguồn gốc dữ liệu để đảm bảo tính thống nhất và chất lượng cao.	pie chart, Genestory, đơn vị xét nghiệm		figure_faq	pie1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
13	Các Haplogroup nhỏ chiếm tỷ trọng bao nhiêu phần trăm trong phân bố?	Biểu đồ tròn pie1 thể hiện sự tập trung mạnh mẽ của toàn bộ hồ sơ vào một đơn vị xét nghiệm chính (Genestory). Phần nhỏ hoặc gần như không tồn tại của các đơn vị khác cho thấy hệ thống hiện đang hoạt động với nguồn dữ liệu rất tập trung. Trong giám định hài cốt, điều này mang lại lợi ích về tính đồng nhất quy trình xét nghiệm.	pie chart, Genestory		figure_faq	pie1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
14	Haplogroup B4 và B5 chiếm tỷ lệ bao nhiêu phần trăm trong quần thể người Việt?	Biểu đồ tròn pie1 giúp đánh giá tính tập trung của dữ liệu xét nghiệm, từ đó hỗ trợ quyết định chiến lược mở rộng hoặc duy trì nguồn dữ liệu từ đơn vị chính. Việc tất cả hoặc gần như toàn bộ hồ sơ thuộc một đơn vị giúp dễ dàng kiểm soát chất lượng và tiêu chuẩn hóa quy trình. Đây là thông tin quan trọng cho quản trị hệ thống giám định ADN.	pie chart, đơn vị xét nghiệm		figure_faq	pie1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
15	Làm thế nào để xác định nguồn gốc tổ tiên của mẫu hài cốt qua biểu đồ tròn?	Biểu đồ tròn pie1 cho phép người dùng nhanh chóng nhận biết mức độ phụ thuộc của hệ thống vào đơn vị xét nghiệm Genestory. Từ đó có thể đánh giá tính ổn định và chất lượng tổng thể của dữ liệu đầu vào. Trong quy trình giám định hài cốt liệt sĩ, thông tin này hỗ trợ lập kế hoạch thu thập và tích hợp dữ liệu hiệu quả hơn.	pie chart, Genestory		figure_faq	pie1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
16	Biểu đồ tròn thể hiện tỷ lệ hồ sơ hài cốt liệt sĩ theo đơn vị cung cấp nào?	Biểu đồ tròn pie2 thể hiện tỷ lệ phân bố hồ sơ hài cốt liệt sĩ theo hai nguồn chính: C06 và UNKNOWN. Nó giúp người dùng hình dung rõ tỷ lệ giữa hồ sơ có nguồn gốc rõ ràng và hồ sơ chưa được làm rõ nguồn cung cấp. Trong hệ thống giám định, biểu đồ này hỗ trợ đánh giá chất lượng và khả năng truy vết nguồn gốc dữ liệu hài cốt.	pie chart, hài cốt liệt sĩ, C06, UNKNOWN		figure_faq	pie2	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie2	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
17	Ý nghĩa của biểu đồ tròn pie2?	Biểu đồ tròn pie2 cung cấp cái nhìn tổng quan về nguồn cung cấp hồ sơ hài cốt liệt sĩ, nhấn mạnh phần UNKNOWN cần được chú ý. Người quản lý có thể sử dụng thông tin này để lập kế hoạch làm rõ nguồn gốc dữ liệu. Điều này góp phần nâng cao độ tin cậy và tính toàn vẹn của cơ sở dữ liệu giám định ADN.	pie chart, hài cốt liệt sĩ, đơn vị cung cấp		figure_faq	pie2	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie2	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
18	Biểu đồ pie2 cho biết điều gì về nguồn dữ liệu hài cốt?	Biểu đồ pie2 làm nổi bật sự chênh lệch giữa hồ sơ có nguồn cung cấp rõ ràng (C06) và phần UNKNOWN, giúp hệ thống xác định các hồ sơ cần xử lý bổ sung. Việc theo dõi tỷ lệ UNKNOWN là rất quan trọng để cải thiện chất lượng dữ liệu tổng thể. Trong giám định hài cốt liệt sĩ, biểu đồ này hỗ trợ ưu tiên các hoạt động truy vết nguồn gốc.	pie chart, UNKNOWN, C06		figure_faq	pie2	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie2	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
19	Tầm quan trọng của việc giảm tỷ lệ UNKNOWN?	Biểu đồ tròn pie2 nhấn mạnh nhu cầu giảm tỷ lệ UNKNOWN bằng cách làm rõ nguồn cung cấp hồ sơ hài cốt liệt sĩ. Khi phần UNKNOWN giảm, độ tin cậy và khả năng đối sánh của hệ thống sẽ được nâng cao đáng kể. Đây là công cụ trực quan quan trọng cho quản lý dữ liệu trong toàn bộ quy trình giám định.	pie chart, UNKNOWN, hài cốt liệt sĩ		figure_faq	pie2	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie2	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
20	Biểu đồ pie2 hỗ trợ quản lý dữ liệu hài cốt như thế nào?	Biểu đồ pie2 cung cấp cái nhìn trực quan giúp quản lý theo dõi và cải thiện chất lượng nguồn cung cấp hồ sơ liệt sĩ. Bằng cách quan sát tỷ lệ giữa C06 và UNKNOWN, người dùng có thể đưa ra các biện pháp cụ thể để tối ưu hóa dữ liệu. Thông tin này đóng vai trò then chốt trong việc nâng cao hiệu quả giám định ADN.	pie chart, hài cốt liệt sĩ		figure_faq	pie2	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie2	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
21	Biểu đồ donut Loại dữ liệu STR thể hiện thông tin gì?	Biểu đồ donut thể hiện phân loại số lượng hồ sơ STR theo số hồ sơ ADN mà mỗi công dân có trong cơ sở dữ liệu. Nó giúp người dùng hiểu rõ mức độ sẵn có của dữ liệu STR trên từng cá nhân. Trong hệ thống giám định hài cốt liệt sĩ, biểu đồ này hỗ trợ đánh giá quy mô và chất lượng dữ liệu STR để lập kế hoạch đối sánh.	pie chart, donut, STR, hồ sơ ADN		figure_faq	pie3	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie3	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
22	Ý nghĩa của donut chart STR?	Biểu đồ donut STR cho biết tỷ lệ công dân có một, hai hoặc nhiều hơn hai hồ sơ STR, từ đó phản ánh tính đa dạng và độ sâu của cơ sở dữ liệu. Người dùng có thể sử dụng thông tin này để đánh giá mức độ sẵn sàng cho các phân tích di truyền phức tạp. Đây là công cụ quan trọng để quản lý và mở rộng cơ sở dữ liệu giám định.	pie chart, STR, hồ sơ ADN		figure_faq	pie3	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie3	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
23	Biểu đồ donut STR phản ánh điều gì về cơ sở dữ liệu?	Biểu đồ donut STR thể hiện mức độ đa dạng số lượng hồ sơ STR trên mỗi công dân, giúp đánh giá tổng thể chất lượng và quy mô dữ liệu. Khi tỷ lệ công dân có nhiều hồ sơ tăng, khả năng đối sánh huyết thống sẽ được cải thiện. Trong giám định ADN, biểu đồ này hỗ trợ ra quyết định chiến lược về marker di truyền.	pie chart, STR		figure_faq	pie3	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie3	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
24	So sánh donut STR với mtDNA có ý nghĩa gì?	Biểu đồ donut STR cho phép so sánh trực tiếp quy mô và phân bố hồ sơ STR so với mtDNA, từ đó hiểu rõ điểm mạnh của từng loại marker. Sự so sánh này giúp hệ thống tối ưu hóa việc sử dụng dữ liệu trong các trường hợp giám định khác nhau. Đây là thông tin quan trọng cho cả nhà phân tích và quản trị hệ thống.	pie chart, STR, mtDNA		figure_faq	pie3	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie3	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
25	Khi nào nên ưu tiên sử dụng dữ liệu STR?	Biểu đồ donut STR hỗ trợ quyết định khi nào nên ưu tiên marker STR dựa trên số lượng và phân bố hồ sơ hiện có. Khi dữ liệu STR phong phú, hệ thống có thể đạt độ chính xác cao hơn trong giám định huyết thống. Biểu đồ này đóng vai trò then chốt trong lập kế hoạch sử dụng tài nguyên dữ liệu.	pie chart, STR		figure_faq	pie3	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie3	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
26	Biểu đồ donut Loại dữ liệu mtDNA thể hiện thông tin gì?	Biểu đồ donut thể hiện phân loại số lượng hồ sơ mtDNA theo số hồ sơ ADN mà mỗi công dân có trong hệ thống. Nó cung cấp cái nhìn rõ ràng về mức độ sẵn có của dữ liệu mtDNA trên từng cá nhân. Trong giám định hài cốt liệt sĩ, biểu đồ này rất hữu ích để đánh giá khả năng sử dụng mtDNA cho đối sánh.	pie chart, donut, mtDNA, hồ sơ ADN		figure_faq	pie4	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie4	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
27	Ý nghĩa của donut chart mtDNA?	Biểu đồ donut mtDNA cho biết tỷ lệ công dân có một, hai hoặc nhiều hơn hai hồ sơ mtDNA, giúp đánh giá độ sâu của cơ sở dữ liệu mtDNA. Thông tin này hỗ trợ nhà phân tích hiểu rõ nguồn lực sẵn có cho các phân tích di truyền dòng mẹ. Đây là công cụ trực quan quan trọng trong quản lý dữ liệu giám định.	pie chart, mtDNA, hồ sơ ADN		figure_faq	pie4	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie4	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
28	Biểu đồ donut mtDNA phản ánh điều gì?	Biểu đồ donut mtDNA phản ánh mức độ sẵn có và đa dạng của dữ liệu mtDNA trong cơ sở dữ liệu, từ đó hỗ trợ đánh giá tổng thể chất lượng dữ liệu. Khi tỷ lệ công dân có nhiều hồ sơ mtDNA cao, khả năng xác định nguồn gốc di truyền sẽ được nâng cao. Biểu đồ này giúp hệ thống lập kế hoạch thu thập dữ liệu bổ sung một cách hiệu quả.	pie chart, mtDNA		figure_faq	pie4	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie4	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
29	So sánh donut mtDNA và STR có ý nghĩa gì?	Biểu đồ donut mtDNA cho phép so sánh quy mô dữ liệu mtDNA với STR, giúp hiểu rõ ưu thế của từng loại marker trong các tình huống giám định khác nhau. Sự so sánh này hỗ trợ tối ưu hóa chiến lược sử dụng dữ liệu trong hệ thống. Đây là thông tin then chốt cho cả phân tích và quản trị.	pie chart, mtDNA, STR		figure_faq	pie4	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie4	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
30	Khi nào mtDNA được ưu tiên sử dụng trong giám định hài cốt?	Biểu đồ donut mtDNA hỗ trợ quyết định khi nào nên ưu tiên sử dụng mtDNA dựa trên số lượng và phân bố hồ sơ hiện có. Trong giám định hài cốt liệt sĩ, mtDNA thường được ưu tiên khi mẫu chất lượng thấp hoặc cần phân tích dòng mẹ. Biểu đồ này cung cấp cơ sở dữ liệu trực quan để lập kế hoạch giám định hiệu quả.	pie chart, mtDNA		figure_faq	pie4	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	pie4	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
31	Biểu đồ cột thể hiện độ phủ giải trình tự trên các vùng siêu biến nào?	Biểu đồ cột thể hiện mức độ độ phủ giải trình tự (coverage) trên các vùng siêu biến HV1, HV2, HV3 của mtDNA. Nó giúp người dùng đánh giá xem dữ liệu giải trình tự đã đạt chất lượng cao và đầy đủ hay chưa trên từng vùng mục tiêu quan trọng. Trong hệ thống giám định hài cốt liệt sĩ, biểu đồ này là công cụ then chốt để kiểm tra tính tin cậy của dữ liệu trước khi tiến hành đối sánh, tránh sai sót do coverage thấp.	bar chart, độ phủ, coverage, HV1, HV2, HV3, bazơ, đọc dữ liệu, tin cậy		figure_faq	bar1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	bar1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
32	Vùng nào có độ phủ cao nhất và giá trị cụ thể là bao nhiêu?	Biểu đồ cột cho phép người dùng nhanh chóng nhận diện vùng siêu biến nào (HV1, HV2 hay HV3) có độ phủ giải trình tự tốt nhất. Việc so sánh chiều cao các cột giúp đánh giá chất lượng dữ liệu mtDNA trên từng vùng, từ đó xác định vùng nào cần chú ý bổ sung. Trong quy trình giám định ADN, thông tin này hỗ trợ quyết định xem mẫu hài cốt có đủ điều kiện để phân tích sâu hay cần chạy lại giải trình tự.	bar chart, độ phủ, coverage, HV1, HV2, HV3, bazơ, đọc dữ liệu, tin cậy		figure_faq	bar1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	bar1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
33	Độ phủ dưới ngưỡng tin cậy thì cần xử lý ra sao?	Biểu đồ cột cảnh báo rõ các vùng có độ phủ giải trình tự thấp, giúp người dùng xác định ngay những mẫu cần xử lý bổ sung hoặc kiểm tra lại quy trình NGS. Khi coverage dưới ngưỡng an toàn, hệ thống có nguy cơ đưa ra kết quả đối sánh không chính xác. Biểu đồ này hỗ trợ vận hành thực tế bằng cách ưu tiên các mẫu cần cải thiện chất lượng dữ liệu trước khi đưa vào đối sánh.	bar chart, độ phủ, coverage, HV1, HV2, HV3, bazơ, đọc dữ liệu, tin cậy		figure_faq	bar1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	bar1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
34	Độ phủ bao nhiêu phần trăm được coi là đủ tin cậy cho giám định ADN?	Biểu đồ cột cung cấp cái nhìn trực quan về ngưỡng độ phủ giải trình tự cần đạt được trên các vùng HV1, HV2, HV3 để đảm bảo kết quả giám định đáng tin cậy. Người dùng có thể so sánh các cột để đánh giá tổng thể chất lượng dữ liệu mtDNA của từng lô mẫu. Đây là công cụ quan trọng giúp quản lý hệ thống duy trì tiêu chuẩn chất lượng cao trong toàn bộ quy trình giám định hài cốt liệt sĩ.	bar chart, độ phủ, coverage, HV1, HV2, HV3, bazơ, đọc dữ liệu, tin cậy		figure_faq	bar1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	bar1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
35	Làm thế nào để cải thiện độ phủ khi mẫu có độ phủ thấp trên HV2?	Biểu đồ cột giúp xác định chính xác vùng nào (ví dụ HV2) đang có độ phủ thấp, từ đó hướng dẫn các biện pháp kỹ thuật cụ thể như tối ưu hóa thư viện, tăng số cycle sequencing hoặc điều chỉnh protocol NGS. Việc cải thiện coverage trên vùng yếu sẽ nâng cao độ tin cậy tổng thể của dữ liệu mtDNA. Biểu đồ này hỗ trợ đội ngũ kỹ thuật và quản lý dữ liệu đưa ra quyết định kịp thời trong quy trình giám định.	bar chart, độ phủ, coverage, HV1, HV2, HV3, bazơ, đọc dữ liệu, tin cậy		figure_faq	bar1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	bar1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
36	Biểu đồ cột thể hiện số lượng mẫu theo nhóm haplogroup nào tại Việt Nam?	Biểu đồ cột thể hiện phân bố số lượng mẫu theo các nhóm Haplogroup trong quần thể Việt Nam, giúp làm rõ cấu trúc di truyền và nguồn gốc tổ tiên của dữ liệu. Nó cung cấp cái nhìn trực quan về sự đa dạng di truyền, từ macro-haplogroup đến các nhánh con cụ thể. Trong hệ thống giám định hài cốt liệt sĩ, biểu đồ này hỗ trợ đánh giá tính đại diện của cơ sở dữ liệu tham chiếu.	bar chart, Haplogroup, số lượng mẫu, macro-haplogroup, M, B, Việt Nam, phân bố		figure_faq	bar2	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	bar2	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
37	Haplogroup nào có số lượng mẫu lớn nhất trong biểu đồ?	Biểu đồ cột cho phép người dùng nhanh chóng nhận diện nhóm Haplogroup chiếm ưu thế trong quần thể Việt Nam thông qua chiều cao cột lớn nhất. Thông tin này phản ánh đặc trưng di truyền phổ biến nhất, hỗ trợ so sánh với mẫu hài cốt. Biểu đồ giúp quản lý hệ thống hiểu rõ hơn về thành phần di truyền của cơ sở dữ liệu hiện tại.	bar chart, Haplogroup, số lượng mẫu, macro-haplogroup, M, B, Việt Nam, phân bố		figure_faq	bar2	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	bar2	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
